Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
DRY/24-25/304756,2024-04-17 09:05:00,Dry Cleaning Solvents & Perc,CleanCare Packaging Ltd,451.26,0.0,Routine voucher booking for dry cleaning solvents & perc,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/YE-500223,2025-03-30 20:41:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,143783.12,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/312008,2024-07-24 09:21:00,Electricity & Water Tanker Costs,Seitz Specialty Chemicals India,497.91,0.0,Routine voucher booking for electricity & water tanker costs,Central Processing Hub - Noida,central_accts_ananya
DRY/24-25/305412,2024-09-08 08:59:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3619.8,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),store_exec_delhi
DRY/24-25/LOG-400182,2024-07-07 12:34:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,36773.63,0.0,Inter-branch garment transit claim ref VAN-EXP-567,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/318869,2025-03-26 18:05:00,Staff Salaries & Pressing Wages,Buchi Laundry Equipment Lease,2119.72,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 03 - Bandra West (Mumbai),cfo_kapoor
DRY/24-25/308833,2024-04-17 12:57:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,874.15,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,store_exec_delhi
DRY/24-25/316954,2024-04-09 09:53:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,5849.96,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/320426,2024-11-23 08:05:00,Electricity & Water Tanker Costs,Buchi Laundry Equipment Lease,1544.29,0.0,Routine voucher booking for electricity & water tanker costs,Branch 03 - Bandra West (Mumbai),store_exec_delhi
DRY/24-25/314188,2025-03-11 15:07:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,2496.36,Routine voucher booking for store front collections (dry clean),Branch 03 - Bandra West (Mumbai),cfo_kapoor
DRY/24-25/LOG-400114,2024-09-14 11:55:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,28370.06,0.0,Inter-branch garment transit claim ref VAN-EXP-346,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/309601,2024-07-08 17:34:00,Electricity & Water Tanker Costs,Seitz Specialty Chemicals India,5004.39,0.0,Routine voucher booking for electricity & water tanker costs,Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/LOG-402355,2024-10-13 17:26:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,14926.09,0.0,Inter-branch garment transit claim ref VAN-EXP-731,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/307599,2024-07-05 15:52:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,567.23,Routine voucher booking for premium garment care revenue,Branch 05 - Indiranagar (Bangalore),cfo_kapoor
DRY/24-25/313533,2024-04-09 13:25:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,451.31,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/308114,2025-02-12 12:17:00,Hydro-Extractor Machinery Lease,State Electricity Board,885.02,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 07 - Jubilee Hills (Hyderabad),cfo_kapoor
DRY/24-25/304647,2024-06-04 14:39:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,2138.12,Routine voucher booking for store front collections (dry clean),Branch 03 - Bandra West (Mumbai),store_exec_mumbai
DRY/24-25/315222,2025-01-22 09:47:00,Eco-friendly Detergents & Softeners,Local Water Tanker Suppliers,109.78,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/312457,2024-05-26 12:12:00,Steam Boiler Diesel & LPG,State Electricity Board,414.48,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 05 - Indiranagar (Bangalore),cfo_kapoor
DRY/24-25/313110,2024-12-20 09:48:00,Dry Cleaning Solvents & Perc,Blue Dart & Local Bike Logistics,1022.27,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/307982,2024-08-10 08:54:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1483.98,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/321617,2024-06-25 20:54:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,4033.83,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/316219,2024-07-28 16:57:00,Hydro-Extractor Machinery Lease,CleanCare Packaging Ltd,387.66,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/312116,2024-07-14 17:11:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3754.33,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),cfo_kapoor
DRY/24-25/312102,2025-02-13 19:50:00,Hanger & Poly-Packaging Purchase,Buchi Laundry Equipment Lease,2136.94,0.0,Routine voucher booking for hanger & poly-packaging purchase,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/315530,2024-06-03 10:49:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,11403.96,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),cfo_kapoor
DRY/24-25/LOG-402016,2024-09-18 14:33:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,37897.16,0.0,Inter-branch garment transit claim ref VAN-EXP-242,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/LOG-401615,2024-07-02 18:19:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,17253.74,0.0,Inter-branch garment transit claim ref VAN-EXP-436,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/311013,2024-07-12 19:04:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,316.99,Routine voucher booking for premium garment care revenue,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/313324,2024-11-19 17:17:00,Hanger & Poly-Packaging Purchase,Bharat Petroleum Fuel Corp,1627.1,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 04 - Powai Galleria (Mumbai),cfo_kapoor
DRY/24-25/308081,2024-04-04 15:41:00,Eco-friendly Detergents & Softeners,Buchi Laundry Equipment Lease,289.12,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 03 - Bandra West (Mumbai),store_exec_delhi
DRY/24-25/302760,2024-04-18 16:26:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,104.54,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/313698,2025-02-21 17:35:00,Dry Cleaning Solvents & Perc,Local Water Tanker Suppliers,4821.06,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/308079,2024-12-19 17:12:00,Electricity & Water Tanker Costs,Buchi Laundry Equipment Lease,391.96,0.0,Routine voucher booking for electricity & water tanker costs,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/320101,2024-09-14 13:47:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,337.8,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/310873,2025-01-16 14:11:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,256.44,Routine voucher booking for store front collections (dry clean),Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/YE-500166,2025-03-28 22:30:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,146548.05,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/LOG-401982,2025-02-26 16:58:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,23107.54,0.0,Inter-branch garment transit claim ref VAN-EXP-813,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/305926,2025-01-27 19:54:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,23442.6,Routine voucher booking for premium garment care revenue,Branch 07 - Jubilee Hills (Hyderabad),store_exec_blr
DRY/24-25/LOG-400735,2025-01-13 16:41:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,34728.2,0.0,Inter-branch garment transit claim ref VAN-EXP-250,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/320173,2024-12-24 20:11:00,Hydro-Extractor Machinery Lease,Buchi Laundry Equipment Lease,153.96,0.0,Routine voucher booking for hydro-extractor machinery lease,Central Processing Hub - Bhiwandi,store_exec_blr
DRY/24-25/LOG-401341,2024-06-02 11:36:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,24481.7,0.0,Inter-branch garment transit claim ref VAN-EXP-850,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/307631,2025-02-12 09:56:00,Eco-friendly Detergents & Softeners,Bharat Petroleum Fuel Corp,830.76,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 06 - Koramangala (Bangalore),store_exec_delhi
DRY/24-25/305267,2024-12-14 14:33:00,Eco-friendly Detergents & Softeners,Local Water Tanker Suppliers,2041.6,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/305009,2024-07-27 19:57:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1550.86,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/309197,2025-01-04 20:15:00,Staff Salaries & Pressing Wages,Bharat Petroleum Fuel Corp,748.92,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 01 - Connaught Place (Delhi),store_exec_delhi
DRY/24-25/320601,2024-04-10 14:30:00,Staff Salaries & Pressing Wages,State Electricity Board,344.0,0.0,Routine voucher booking for staff salaries & pressing wages,Central Processing Hub - Noida,store_exec_blr
DRY/24-25/314414,2025-01-24 09:02:00,Hanger & Poly-Packaging Purchase,CleanCare Packaging Ltd,842.21,0.0,Routine voucher booking for hanger & poly-packaging purchase,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/321644,2024-09-12 11:17:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,340.6,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),store_exec_delhi
DRY/24-25/308799,2024-07-25 13:48:00,Electricity & Water Tanker Costs,Seitz Specialty Chemicals India,335.92,0.0,Routine voucher booking for electricity & water tanker costs,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/315467,2024-10-16 19:37:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,3029.89,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/307487,2025-03-10 17:02:00,Eco-friendly Detergents & Softeners,CleanCare Packaging Ltd,1074.92,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/301649,2025-03-28 20:55:00,Hydro-Extractor Machinery Lease,Seitz Specialty Chemicals India,734.34,0.0,Routine voucher booking for hydro-extractor machinery lease,Central Processing Hub - Bhiwandi,store_exec_blr
DRY/24-25/314291,2025-02-04 20:21:00,Hydro-Extractor Machinery Lease,Bharat Petroleum Fuel Corp,7545.37,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 05 - Indiranagar (Bangalore),cfo_kapoor
DRY/24-25/319489,2024-09-18 08:49:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,167.12,Routine voucher booking for premium garment care revenue,Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/LOG-401954,2024-11-16 11:11:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,33949.12,0.0,Inter-branch garment transit claim ref VAN-EXP-386,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/317193,2024-04-27 14:27:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,2423.23,Routine voucher booking for store front collections (dry clean),Branch 07 - Jubilee Hills (Hyderabad),store_exec_mumbai
DRY/24-25/LOG-400489,2025-03-31 12:21:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,33916.66,0.0,Inter-branch garment transit claim ref VAN-EXP-445,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/317434,2024-05-10 09:02:00,Dry Cleaning Solvents & Perc,Seitz Specialty Chemicals India,479.29,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/310948,2024-11-05 09:31:00,Staff Salaries & Pressing Wages,Blue Dart & Local Bike Logistics,279.24,0.0,Routine voucher booking for staff salaries & pressing wages,Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/318250,2024-09-23 09:09:00,Steam Boiler Diesel & LPG,Direct Walk-in Retail Clients,1241.46,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/300897,2025-02-22 14:10:00,Electricity & Water Tanker Costs,Seitz Specialty Chemicals India,655.1,0.0,Routine voucher booking for electricity & water tanker costs,Central Processing Hub - Bhiwandi,central_accts_ananya
DRY/24-25/320421,2024-12-12 09:11:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,2778.22,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/LOG-400590,2024-08-03 18:03:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,31224.66,0.0,Inter-branch garment transit claim ref VAN-EXP-944,Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/YE-500273,2025-03-18 22:26:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,173039.15,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/309697,2024-12-07 18:56:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,434.34,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),store_exec_mumbai
DRY/24-25/305146,2024-11-20 16:09:00,Eco-friendly Detergents & Softeners,Commercial Property Landlord Pool,1381.58,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Bhiwandi,store_exec_mumbai
DRY/24-25/315988,2024-10-07 12:29:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,92.05,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,central_accts_ananya
DRY/24-25/LOG-401576,2024-09-17 16:56:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,24109.1,0.0,Inter-branch garment transit claim ref VAN-EXP-885,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/310951,2024-11-05 20:26:00,Hanger & Poly-Packaging Purchase,Local Water Tanker Suppliers,2143.19,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/300369,2025-02-14 14:43:00,Dry Cleaning Solvents & Perc,Diversey Hygiene Supplies,23373.09,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 05 - Indiranagar (Bangalore),store_exec_blr
DRY/24-25/300381,2024-09-20 18:32:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1405.77,Routine voucher booking for store front collections (dry clean),Branch 03 - Bandra West (Mumbai),cfo_kapoor
DRY/24-25/312920,2024-06-07 08:31:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1688.92,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/LOG-401126,2024-10-28 16:24:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,27423.93,0.0,Inter-branch garment transit claim ref VAN-EXP-557,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/305408,2024-06-24 18:48:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,263.47,Routine voucher booking for premium garment care revenue,Central Processing Hub - Bhiwandi,store_exec_blr
DRY/24-25/301300,2024-07-09 20:15:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,421.35,Routine voucher booking for premium garment care revenue,Branch 05 - Indiranagar (Bangalore),store_exec_blr
DRY/24-25/312259,2024-11-05 20:52:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,3865.08,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/313265,2024-09-24 18:40:00,Steam Boiler Diesel & LPG,CleanCare Packaging Ltd,275.69,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 07 - Jubilee Hills (Hyderabad),central_accts_ananya
DRY/24-25/YE-501120,2025-03-07 22:00:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,145933.44,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/308959,2024-07-05 14:37:00,Staff Salaries & Pressing Wages,Seitz Specialty Chemicals India,2277.61,0.0,Routine voucher booking for staff salaries & pressing wages,Central Processing Hub - Bhiwandi,store_exec_mumbai
DRY/24-25/LOG-401208,2024-10-30 11:53:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,24856.28,0.0,Inter-branch garment transit claim ref VAN-EXP-122,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/305023,2024-09-25 10:07:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1880.98,Routine voucher booking for commercial hotel laundry b2b,Central Processing Hub - Bhiwandi,store_exec_delhi
DRY/24-25/LOG-401364,2024-05-02 18:40:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,34500.57,0.0,Inter-branch garment transit claim ref VAN-EXP-642,Branch 03 - Bandra West (Mumbai),central_accts_ananya
DRY/24-25/312047,2024-09-25 09:31:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,2294.82,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/318365,2024-10-18 11:11:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,680.29,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/LOG-400810,2024-06-12 18:56:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,29621.52,0.0,Inter-branch garment transit claim ref VAN-EXP-353,Branch 05 - Indiranagar (Bangalore),central_accts_ananya
DRY/24-25/LOG-400201,2024-05-02 18:41:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,14833.11,0.0,Inter-branch garment transit claim ref VAN-EXP-547,Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/YE-501180,2025-03-12 19:43:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,194838.02,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/LOG-402349,2024-06-23 11:31:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,26876.95,0.0,Inter-branch garment transit claim ref VAN-EXP-832,Branch 05 - Indiranagar (Bangalore),central_accts_ananya
DRY/24-25/314121,2025-03-13 14:36:00,Eco-friendly Detergents & Softeners,Seitz Specialty Chemicals India,296.75,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Bhiwandi,store_exec_delhi
DRY/24-25/316778,2024-09-30 15:41:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1094.08,Routine voucher booking for commercial hotel laundry b2b,Central Processing Hub - Noida,store_exec_delhi
DRY/24-25/LOG-400952,2024-12-06 11:44:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,35638.51,0.0,Inter-branch garment transit claim ref VAN-EXP-136,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/321735,2024-05-08 20:22:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,100.84,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,store_exec_blr
DRY/24-25/316450,2024-04-11 15:10:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1768.59,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/321011,2024-09-16 13:10:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,367.59,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/305116,2025-02-17 12:09:00,Loss & Damage Customer Compensation,Buchi Laundry Equipment Lease,885.82,0.0,Routine voucher booking for loss & damage customer compensation,Branch 04 - Powai Galleria (Mumbai),store_exec_blr
DRY/24-25/314772,2025-03-26 10:18:00,Hydro-Extractor Machinery Lease,Buchi Laundry Equipment Lease,1334.8,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 02 - South Extension (Delhi),store_exec_blr
DRY/24-25/305376,2025-02-11 12:43:00,Branch Shop Rental,Bharat Petroleum Fuel Corp,107.58,0.0,Routine voucher booking for branch shop rental,Branch 04 - Powai Galleria (Mumbai),store_exec_mumbai
DRY/24-25/309939,2024-04-06 15:51:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,183.41,Routine voucher booking for store front collections (dry clean),Branch 07 - Jubilee Hills (Hyderabad),store_exec_blr
DRY/24-25/316417,2024-05-10 20:36:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,5149.84,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,store_exec_delhi
DRY/24-25/314519,2024-10-08 17:18:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,135.45,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),central_accts_ananya
DRY/24-25/321037,2024-05-17 16:59:00,Hanger & Poly-Packaging Purchase,Bharat Petroleum Fuel Corp,2350.55,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 05 - Indiranagar (Bangalore),store_exec_blr
DRY/24-25/313484,2024-06-04 16:29:00,Eco-friendly Detergents & Softeners,Direct Walk-in Retail Clients,457.88,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/310872,2024-12-20 20:58:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,5048.03,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/309774,2025-01-28 08:31:00,Eco-friendly Detergents & Softeners,State Electricity Board,2322.04,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/314940,2025-03-24 19:10:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,707.49,Routine voucher booking for commercial hotel laundry b2b,Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/YE-500903,2025-03-30 18:54:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,87642.16,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/306451,2025-02-21 12:40:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,270.76,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),store_exec_blr
DRY/24-25/YE-500926,2025-03-28 18:40:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,149779.05,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/310453,2024-11-05 17:45:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1980.31,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),cfo_kapoor
DRY/24-25/317946,2024-10-25 13:03:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,1216.16,Routine voucher booking for premium garment care revenue,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/308781,2025-03-10 18:48:00,Van Logistics & Fuel Reimbursements,Taj & Marriott B2B Hotel Pool,2904.55,0.0,Routine voucher booking for van logistics & fuel reimbursements,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/308912,2024-05-11 11:52:00,Hanger & Poly-Packaging Purchase,CleanCare Packaging Ltd,6009.33,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 04 - Powai Galleria (Mumbai),store_exec_blr
DRY/24-25/310911,2024-12-28 13:30:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1053.33,Routine voucher booking for commercial hotel laundry b2b,Branch 06 - Koramangala (Bangalore),central_accts_ananya
DRY/24-25/306208,2024-04-17 13:21:00,Dry Cleaning Solvents & Perc,Local Water Tanker Suppliers,3497.01,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/304739,2024-11-03 14:35:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,781.21,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/312513,2025-03-12 13:07:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,484.5,Routine voucher booking for premium garment care revenue,Branch 01 - Connaught Place (Delhi),store_exec_blr
DRY/24-25/302890,2024-09-26 08:10:00,Dry Cleaning Solvents & Perc,Blue Dart & Local Bike Logistics,1841.79,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/319783,2024-05-16 20:28:00,Eco-friendly Detergents & Softeners,State Electricity Board,1895.8,0.0,Routine voucher booking for eco-friendly detergents & softeners,Branch 05 - Indiranagar (Bangalore),store_exec_delhi
DRY/24-25/319030,2024-05-20 10:03:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,355.52,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),store_exec_mumbai
DRY/24-25/304822,2024-07-04 10:26:00,Eco-friendly Detergents & Softeners,Direct Walk-in Retail Clients,570.98,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Bhiwandi,store_exec_delhi
DRY/24-25/312175,2024-06-30 19:01:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,816.68,Routine voucher booking for store front collections (dry clean),Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/320000,2024-10-08 13:52:00,Hydro-Extractor Machinery Lease,Buchi Laundry Equipment Lease,1438.33,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 03 - Bandra West (Mumbai),cfo_kapoor
